id,question,gold_intent,gold_document,resolved_kb_doc,gold_chunk_id,expected_answer,must_include,must_not_include,difficulty,category,retrieval_success,generation_success
72,졸업증명서는 언제부터 발급되나요?,졸업증명서 발급 일자,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,공식 졸업증명서는 학위수여식 당일(2025.8.14. 예정) 이후부터 발급 및 출력이 가능합니다.,학위수여식 / 발급 가능,예정 증명서,Easy,졸업,O,X
73,학위수여식에 참석 못 하는데 학위증은 어떻게 받나요?,학위증 수령 방법,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_0,학위수여식 이후에 본인의 소속 학부(과) 사무실을 직접 방문하여 신분 확인 후 학위증을 수령할 수 있습니다.,학부(과) 사무실 / 방문 수령,우편 발송,Easy,졸업,O,X
74,해외 취업 준비 중인데 영문 졸업예정증명서가 필요합니다.,인터넷 증명 발급,학생포털시스템,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,"영문 졸업예정증명서 발급 방법은 제공된 학사 문서에 명시되어 있지 않으므로, 학사지원팀(또는 국제교류처)에 문의하여 발급 절차를 확인해야 합니다.",졸업예정증명서 / 문의,,Easy,졸업,O,O
75,졸업사정 결과는 언제 나오나요?,졸업사정 결과 시기,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_32,졸업 예정자의 졸업사정 최종 결과는 매 학기 말(7월 4주 또는 1월 말 예정) 학생포털에서 조회가 가능합니다.,7월 4주 / 결과 조회,수강신청 기간,Easy,졸업,O,X
76,등록금 납부 기간을 하루 넘겼습니다.,추가 등록 기간,재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내_parent_0,정규 등록 기간이 지났더라도 1차 추가 등록(3월 10일~11일) 및 2차 최종 등록 기간에 납부할 수 있습니다.,추가 등록 기간 / 납부,미납 제명,Easy,등록금,O,O
77,등록금을 분할납부하고 싶습니다.,분할납부 신청 방법,등록금 분할납부 안내,부산외국어대학교 학생포털시스템-등록금 분할납부 안내 (4),부산외국어대학교 학생포털시스템-등록금 분할납부 안내 (4)_parent_0,매 학기 2월 중 학생포털의 [등록 > 분할납부 신청] 메뉴를 통해 2~5회 분할 납부를 신청할 수 있습니다.,분할납부 신청 / 학생포털,일시 납부,Easy,등록금,O,O
78,국가장학금이 아직 반영되지 않았습니다.,국가장학금 문의,재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내_parent_0,국가장학금의 개별 심사 상태 및 반영 일정은 학생복지팀(051-509-5163)으로 전화하여 상담받으셔야 합니다.,학생복지팀 / 확인,재무팀,Easy,등록금,X,X
79,장학금 대상이라고 들었는데 지급이 안 됐습니다.,교내 장학금 확인,재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내_parent_0,교내 장학금의 선발 및 지급 관련 상세 문의는 학생복지팀(051-509-5164)으로 하시기 바랍니다.,학생복지팀 / 문의,국가장학,Easy,등록금,X,X
80,휴학 예정인데 등록금을 먼저 내야 하나요?,미등록 휴학 기간,재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내_parent_0,"등록금을 내지 않고 휴학하려면 개강 전(2026.2.28.)까지 미등록 휴학을 신청해야 하며, 이후에는 등록금을 내야 휴학 가능합니다.",미등록 휴학 / 개강 전,등록 이월,Medium,등록금,O,X
81,복학하는데 등록금 고지서가 안 보입니다.,온라인 고지서 출력,재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내_parent_0,"등록금 고지서는 우편 발송되지 않으며, 학생포털의 [등록 > 등록금고지서 출력] 메뉴에서 온라인으로만 확인 가능합니다.",고지서 출력 / 학생포털,우편 발송,Easy,등록금,X,O
82,등록금 영수증을 회사에 제출해야 합니다.,납부 확인서 발급,학생포털시스템,학생포털시스템 매뉴얼학부생,학생포털시스템 매뉴얼학부생_parent_6,납부를 증명하는 '등록금 납부 확인서'는 인터넷 증명발급 서비스를 통해 즉시 발급받으실 수 있습니다.,납부 확인서 / 인터넷 발급,재무팀 방문,Easy,등록금,O,X
83,등록금 환불은 언제 입금되나요?,등록금 반환 문의,재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내_parent_0,등록금 환불 사유 및 일정에 대한 상세한 사항은 학교 재무팀(051-509-5382~4)으로 직접 문의하십시오.,재무팀 / 문의,학생복지팀,Easy,등록금,O,X
84,장학금 때문에 성적 기준을 다시 확인하고 싶습니다.,장학 이수 학점 기준,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_3,장학금 수혜를 위해서는 직전 학기 최소 12학점(4학년은 9학점) 이상을 취득해야 기본 대상자가 됩니다.,12학점 / 취득자,평점 1.5,Medium,등록금,O,X
85,등록금을 냈는데 미납으로 표시됩니다.,납부 확인 문자,재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내_parent_0,가상계좌로 납부 시 즉시 안내 문자가 발송됩니다. 문자가 오지 않았다면 재무팀에 확인하거나 고지서의 가상계좌 번호를 재확인하십시오.,납부 확인 문자 / 재무팀,은행 방문,Medium,등록금,X,O
86,현재 학과가 적성에 안 맞아서 전과를 고민 중입니다.,전과 신청 기간,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_28,"전과(전부) 신청은 매 학기 말(7월 또는 1월)에 온라인으로 진행되며, 본인 학년도별 공지를 반드시 확인해야 합니다.",전부(과) 신청 / 학생포털,수강신청,Medium,전과/복전,X,O
87,전과하면 지금까지 취득한 학점은 어떻게 되나요?,전과 후 학점 인정,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,"기존 취득 학점은 인정되지만, 새로운 전공에 맞게 이수구분 변경 신청을 통해 전공 학점으로 다시 분류받아야 합니다.",이수구분 변경 / 전공 인정,학점 소멸,Hard,전과/복전,O,X
88,복수전공을 신청했는데 승인 결과는 언제 나오나요?,제2전공 결과 확인,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_10,복수전공 승인 결과는 신청한 다음 학기인 4월 또는 10월 중에 학생포털시스템에서 직접 조회할 수 있습니다.,결과 확인 / 4월·10월,장바구니 신청,Medium,전과/복전,O,X
89,부전공을 중간에 포기할 수 있나요?,제2전공 취소,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_2,"네, 제2전공 신청 기간에 학생포털시스템을 통해 부전공 또는 복수전공 취소 신청을 할 수 있습니다.",제2전공 취소 / 신청 기간,전과 신청,Easy,전과/복전,O,X
90,전과 후 졸업이 늦어질 가능성이 있나요?,전과 후 졸업 학점,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_4,"새로운 학과의 전공 필수 및 기본 학점을 모두 다시 채워야 하므로, 학점 이수 현황에 따라 졸업이 1~2학기 지연될 수 있습니다.",전공학점 부족 / 유의,자동 졸업,Medium,전과/복전,O,X
91,복수전공 때문에 추가 등록금을 내야 하나요?,계열별 등록금 차액,학부 등록금 안내,부산외국어대학교 학생포털시스템-학부 등록금 안내(24학번 이후),부산외국어대학교 학생포털시스템-학부 등록금 안내(24학번 이후)_parent_0,"전공 간 계열(A, B, C)이 다른 복수전공을 선택할 경우, 계열별 등록금 기준에 따라 추가 차액이 발생할 수 있습니다.",계열별 등록금 / 차액,장학금 혜택,Hard,전과/복전,O,X
92,학적 정보에 이름이 잘못 등록돼 있습니다.,인적사항 수정,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_10,학업성적사정표상의 이름 등 인적사항이 사실과 다를 경우 증빙서류를 지참하여 학사지원팀(051-509-5182)으로 문의해야 합니다.,학사지원팀 / 수정 요청,교수님 문의,Easy,학적,X,X
93,개명했는데 학적부 수정은 어떻게 하나요?,개명 학적 반영,재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내_parent_0,개명 사실이 기재된 주민등록초본 등 증빙서류를 지참하여 본관 학사지원팀을 방문해 학적 수정을 요청하십시오.,주민등록초본 / 학사지원팀,온라인 수정,Medium,학적,X,X
94,주민등록번호 변경 이력이 있는데 반영 가능한가요?,학적 정보 갱신,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_10,"네, 공식 증빙서류를 학사지원팀에 제출하면 변경된 주민등록번호를 학적 정보에 반영할 수 있습니다.",증빙서류 / 학사지원팀,교수님 상담,Easy,학적,X,X
95,학생증을 잃어버렸습니다.,학생증 재발급,학사공지,부산외국어대학교 모바일 학생증 사용 안내,부산외국어대학교 모바일 학생증 사용 안내_parent_0,"실물 학생증 분실 시 모바일 학생증을 우선 사용하시고, 카드 재발급 절차는 관련 부서의 별도 공지를 확인하십시오.",모바일 학생증 / 재발급,학번 찾기,Easy,기타,O,O
96,해외 교환학생 학점 인정 절차를 알고 싶습니다.,국외교류 학점인정,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,귀국 후 3월 또는 9월의 정해진 기간에 '국외교류 학점인정 신청서'와 성적증명서를 제출하여 심사를 받아야 합니다.,학점인정 신청 / 기간 내,수강신청 기간,Hard,기타,O,X
97,회사에 제출할 재학증명서가 오늘 꼭 필요합니다.,인터넷 증명 발급,학생포털시스템,학생포털시스템 매뉴얼학부생,학생포털시스템 매뉴얼학부생_parent_0,"재학증명서 발급 절차는 제공된 학사 문서에 포함되어 있지 않으므로, 학사지원팀 등 담당 부서에 문의하거나 학교 홈페이지 공지를 확인해야 합니다.",재학증명서 / 문의,,Easy,기타,O,O
98,학사 관련 문의를 어디에 해야 할지 모르겠습니다.,부서별 연락처 안내,재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내_parent_0,"수강·휴학은 학사지원팀(5182), 장학은 학생복지팀(5163), 등록금은 재무팀(5382)으로 각각 문의하시기 바랍니다.",학사지원팀 / 학생복지팀 / 재무팀,학부 사무실,Easy,기타,O,X
99,제가 지금 어떤 졸업요건이 부족한지 한 번에 확인할 방법이 있나요?,학업성적사정표 활용,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_27,학생포털의 '학업성적사정표'를 조회하면 졸업기준 학점 대비 본인의 이수·부족 학점 및 졸업인증 합격 여부를 한눈에 볼 수 있습니다.,학업성적사정표 / 부족 학점,수강신청 내역,Medium,기타,O,O
100,제 상황이 일반적인 경우가 아닌데 담당자와 직접 상담할 수 있을까요?,학사지원팀 방문 상담,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_10,복잡한 학적 문제는 본관 F102호에 위치한 학사지원팀을 직접 방문하거나 전화(051-509-5182)를 통해 상세 상담을 받을 수 있습니다.,학사지원팀 / 직접 상담,학생포털,Easy,기타,X,O
